id,X,Y,M,V
0,0.0,-400.0,50.0,0.4
1,400.0,0.0,100.0,1.0
2,-300.0,-200.0,25.0,0.4
3,200.0,-100.0,150.0,0.4
4,-300.0,-100.0,150.0,0.4
5,-400.0,-100.0,175.0,0.4
6,300.0,0.0,150.0,0.4
7,-300.0,-400.0,50.0,0.6
8,300.0,-100.0,100.0,0.8
9,200.0,-400.0,175.0,0.6
10,400.0,-400.0,50.0,0.8
11,0.0,-400.0,25.0,0.4
12,300.0,-200.0,125.0,0.2
13,-400.0,-200.0,75.0,0.6
14,400.0,0.0,125.0,0.8
15,-300.0,-400.0,125.0,0.6
16,-100.0,-300.0,100.0,0.8
17,-100.0,200.0,125.0,0.6
18,300.0,-300.0,150.0,0.2
19,-400.0,-300.0,50.0,0.8
20,400.0,-200.0,25.0,0.6
21,200.0,200.0,50.0,0.2
22,400.0,200.0,100.0,0.4
23,100.0,300.0,175.0,0.4
24,400.0,-400.0,150.0,0.4
25,-100.0,100.0,50.0,0.2
26,100.0,200.0,150.0,0.2
27,400.0,-400.0,25.0,0.2
28,-100.0,-300.0,150.0,0.4
29,-200.0,-400.0,50.0,0.6
30,-300.0,300.0,150.0,0.2
31,-400.0,400.0,50.0,0.6
32,400.0,300.0,50.0,0.6
33,400.0,-300.0,125.0,0.6
34,-400.0,400.0,75.0,0.4
35,-300.0,-400.0,150.0,0.6
36,0.0,-100.0,125.0,0.8
37,-300.0,0.0,175.0,0.8
38,300.0,-200.0,25.0,0.4
39,200.0,400.0,25.0,0.8
40,-200.0,300.0,75.0,0.6
41,400.0,-200.0,75.0,0.6
42,-100.0,100.0,175.0,1.0
43,-400.0,-300.0,100.0,1.0
44,0.0,200.0,125.0,0.2
45,0.0,-300.0,50.0,0.4
46,-100.0,100.0,175.0,0.8
47,200.0,0.0,100.0,0.4
48,-300.0,400.0,100.0,0.2
49,200.0,-100.0,50.0,0.2
50,-300.0,300.0,100.0,0.8
51,-400.0,300.0,50.0,0.2
52,-200.0,-400.0,175.0,0.8
53,0.0,200.0,100.0,0.8
54,100.0,200.0,75.0,0.6
55,-400.0,200.0,25.0,0.4
56,400.0,100.0,25.0,0.8
57,-300.0,-100.0,100.0,0.8
58,200.0,-200.0,125.0,0.4
59,-200.0,-400.0,175.0,0.4
60,0.0,-300.0,150.0,1.0
61,-200.0,400.0,150.0,0.8
62,400.0,300.0,100.0,0.6
63,200.0,200.0,100.0,0.4
64,-400.0,-100.0,25.0,0.6
65,200.0,100.0,100.0,0.4
66,400.0,-300.0,175.0,0.4
67,300.0,-200.0,100.0,0.2
68,200.0,0.0,50.0,0.8
69,400.0,-300.0,150.0,1.0
70,-100.0,100.0,25.0,1.0
71,-100.0,100.0,75.0,0.6
72,200.0,-300.0,175.0,0.8
73,300.0,-100.0,100.0,0.6
74,-200.0,400.0,25.0,0.2
75,200.0,400.0,125.0,0.4
76,0.0,0.0,175.0,0.6
77,100.0,100.0,125.0,0.8
78,-300.0,400.0,150.0,0.8
79,400.0,-100.0,75.0,0.2
80,-300.0,-300.0,25.0,0.2
81,400.0,100.0,50.0,0.6
82,300.0,0.0,50.0,0.6
83,-400.0,300.0,50.0,0.4
84,-300.0,-400.0,175.0,0.6
85,200.0,-400.0,175.0,0.4
86,-300.0,100.0,25.0,0.2
87,400.0,200.0,25.0,1.0
88,100.0,-300.0,125.0,0.8
89,-200.0,200.0,25.0,0.8
90,0.0,0.0,50.0,0.8
91,-100.0,100.0,150.0,0.4
92,200.0,-400.0,25.0,1.0
93,-400.0,-300.0,125.0,1.0
94,-200.0,200.0,150.0,1.0
95,-400.0,-400.0,100.0,0.8
96,0.0,100.0,150.0,0.6
97,400.0,-100.0,100.0,1.0
98,-100.0,400.0,175.0,0.6
99,-300.0,-200.0,150.0,1.0
100,-100.0,100.0,125.0,0.2
101,-300.0,-200.0,25.0,0.8
102,400.0,200.0,25.0,0.2
103,-300.0,100.0,75.0,1.0
104,-400.0,400.0,100.0,0.6
105,400.0,-400.0,100.0,0.8
106,-200.0,300.0,125.0,0.4
107,200.0,300.0,100.0,0.6
108,-100.0,-100.0,25.0,0.8
109,400.0,-400.0,175.0,0.2
110,0.0,200.0,25.0,0.6
111,0.0,-100.0,175.0,0.4
112,100.0,300.0,175.0,0.8
113,-400.0,400.0,175.0,1.0
114,-300.0,400.0,50.0,0.6
115,300.0,400.0,25.0,0.6
116,-200.0,-100.0,175.0,0.4
117,100.0,-200.0,75.0,0.6
118,-300.0,300.0,25.0,0.8
119,0.0,100.0,50.0,1.0
120,-100.0,400.0,175.0,0.4
121,300.0,100.0,25.0,0.2
122,100.0,100.0,50.0,0.6
123,100.0,400.0,75.0,0.2
124,-300.0,200.0,75.0,0.6
125,-400.0,200.0,175.0,0.6
126,0.0,200.0,75.0,0.8
127,200.0,-100.0,125.0,0.4
128,-200.0,0.0,25.0,0.4
129,100.0,200.0,100.0,1.0
130,300.0,300.0,100.0,1.0
131,200.0,0.0,25.0,1.0
132,300.0,100.0,125.0,0.4
133,400.0,-300.0,75.0,0.2
134,400.0,-300.0,75.0,0.8
135,400.0,-100.0,25.0,0.8
136,300.0,0.0,25.0,0.6
137,-100.0,100.0,100.0,1.0
138,0.0,200.0,75.0,0.4
139,100.0,300.0,125.0,0.4
140,-200.0,100.0,50.0,0.2
141,300.0,-300.0,25.0,0.4
142,200.0,-100.0,150.0,0.6
143,300.0,200.0,50.0,0.2
144,300.0,300.0,50.0,0.4
145,-400.0,400.0,100.0,1.0
146,-200.0,-400.0,100.0,0.8
147,300.0,100.0,25.0,0.6
148,-200.0,400.0,175.0,0.4
149,-400.0,300.0,100.0,1.0
150,100.0,200.0,125.0,0.8
151,-400.0,0.0,100.0,0.2
152,100.0,-100.0,75.0,0.6
153,-100.0,400.0,50.0,0.4
154,-400.0,200.0,150.0,0.2
155,-200.0,100.0,175.0,0.4
156,-100.0,-200.0,100.0,0.2
157,-300.0,-100.0,25.0,0.6
