StateCode,Division,ServiceAreaNo
AK,south,205
AK,south,251
AK,south,256
AK,south,334
AL,west,907
AR,west,480
AR,west,520
AR,west,602
AR,west,623
AR,west,928
AZ,south,479
AZ,south,501
AZ,south,870
CA,west,209
CA,west,213
CA,west,310
CA,west,323
CA,west,408
CA,west,415
CA,west,510
CA,west,530
CA,west,559
CA,west,562
CA,west,619
CA,west,626
CA,west,650
CA,west,661
CA,west,707
CA,west,714
CA,west,760
CA,west,805
CA,west,818
CA,west,831
CA,west,858
CA,west,909
CA,west,916
CA,west,925
CA,west,949
CA,west,951
CO,west,303
CO,west,719
CO,west,970
CT,northeast,203
CT,northeast,860
DC,south,302
DE,south,202
FL,south,239
FL,south,305
FL,south,321
FL,south,352
FL,south,386
FL,south,407
FL,south,561
FL,south,727
FL,south,772
FL,south,813
FL,south,850
FL,south,863
FL,south,904
FL,south,941
FL,south,954
GA,south,229
GA,south,404
GA,south,478
GA,south,706
GA,south,770
GA,south,912
HI,west,808
IA,midwest,219
IA,midwest,260
IA,midwest,317
IA,midwest,574
IA,midwest,765
IA,midwest,812
ID,midwest,319
ID,midwest,515
ID,midwest,563
ID,midwest,641
ID,midwest,712
IL,west,208
IN,midwest,217
IN,midwest,309
IN,midwest,312
IN,midwest,618
IN,midwest,630
IN,midwest,708
IN,midwest,773
IN,midwest,815
IN,midwest,847
KS,midwest,316
KS,midwest,620
KS,midwest,785
KS,midwest,913
KY,south,270
KY,south,502
KY,south,606
KY,south,859
LA,south,225
LA,south,318
LA,south,337
LA,south,504
LA,south,985
MA,northeast,207
MD,south,301
MD,south,410
ME,northeast,413
ME,northeast,508
ME,northeast,617
ME,northeast,781
ME,northeast,978
MI,midwest,231
MI,midwest,248
MI,midwest,269
MI,midwest,313
MI,midwest,517
MI,midwest,586
MI,midwest,616
MI,midwest,734
MI,midwest,810
MI,midwest,906
MI,midwest,989
MN,midwest,218
MN,midwest,320
MN,midwest,507
MN,midwest,612
MN,midwest,651
MN,midwest,763
MN,midwest,952
MO,south,228
MO,south,601
MO,south,662
MS,midwest,314
MS,midwest,417
MS,midwest,573
MS,midwest,636
MS,midwest,660
MS,midwest,816
MT,west,406
NC,west,702
NC,west,775
ND,northeast,212
ND,northeast,315
ND,northeast,516
ND,northeast,518
ND,northeast,585
ND,northeast,607
ND,northeast,631
ND,northeast,716
ND,northeast,718
ND,northeast,845
ND,northeast,914
NE,south,252
NE,south,336
NE,south,704
NE,south,828
NE,south,910
NE,south,919
NH,midwest,308
NH,midwest,402
NJ,northeast,603
NM,northeast,201
NM,northeast,609
NM,northeast,732
NM,northeast,856
NM,northeast,908
NM,northeast,973
NV,midwest,701
NY,west,505
NY,west,575
OH,midwest,216
OH,midwest,330
OH,midwest,419
OH,midwest,440
OH,midwest,513
OH,midwest,614
OH,midwest,740
OH,midwest,937
OK,south,405
OK,south,580
OK,south,918
OR,west,503
OR,west,541
PA,northeast,215
PA,northeast,412
PA,northeast,570
PA,northeast,610
PA,northeast,717
PA,northeast,724
PA,northeast,814
RI,northeast,401
SC,south,803
SC,south,843
SC,south,864
SD,midwest,605
TN,south,423
TN,south,615
TN,south,731
TN,south,865
TN,south,901
TN,south,931
TX,south,210
TX,south,214
TX,south,254
TX,south,281
TX,south,325
TX,south,361
TX,south,409
TX,south,432
TX,south,512
TX,south,713
TX,south,806
TX,south,817
TX,south,830
TX,south,903
TX,south,915
TX,south,936
TX,south,940
TX,south,956
TX,south,972
TX,south,979
UT,west,435
UT,west,801
VA,northeast,802
VT,south,276
VT,south,434
VT,south,540
VT,south,703
VT,south,757
VT,south,804
WA,west,206
WA,west,253
WA,west,360
WA,west,425
WA,west,509
WI,south,304
WV,midwest,262
WV,midwest,414
WV,midwest,608
WV,midwest,715
WV,midwest,920
WY,west,307
